ID,NAME,TYPE,PLACE
001,Focus Punch,fight,Victory Road (Outdoor hedge maze)
002,Dragon Claw,dragon,Victory Road (Snowy cliffs after using Rock Climb)
003,Water Pulse,water,Valley Cave (on B1F after using Rock Climb)
004,Calm Mind,psychic,Fallshore City (Purchase in the marketplace)
005,Roar,normal,Crystal Peak (Large room on 1F after using Surf)
006,Toxic,poison,Cootes Bog (East side of the bog after using Surf)
007,Hail,ice,Icy Hole (Help Clown escape; requires Rock Climb[Bellin Town])
008,Bulk Up,fight,Fallshore City (Purchase in the marketplace)
009,Bullet Seed,grass,Route 5 (east side of the route after using Cut)
010,Hidden Power,normal,Fallshore City (Received from the Hidden Power Man in his home)
011,Sunny Day,grass,Route 16 (Received from Clown after showing Solrock or Solgaleo)
012,Taunt,dark,Seaport City (Behind Pokemart)
013,Ice Beam,ice,Icicle Cave (on 3F after beating a pair of Ace Trainers[Surf Required])
014,Blizzard,ice,Icicle Cave (on B1F after pushing a boulder down a hole[Strengh Required])
015,Hyper Beam,normal,Dehara Dept
016,Light Screen,psychic,Dehara City Game Corner (Purchase for 2000 coins)
017,Protect,normal,Fallshore City (purchase in marketplace)
018,Rain Dance,water,Auburn Waterway (Find the Clown hiding)
019,Giga Drain,grass,Redwood Forest (near the centre of group of trees)
020,Safeguard,normal,Fallshore City (Purchase in the marketplace)
021,Frustration,normal,Tomb of Borrius (after navigating the hell cracked floor)
022,Solar Beam,grass,Magnolia Fields (Under a tree on the East Side)
023,Iron Tail,steel,Route 14
024,Thunderbolt,electr,Thundercap Mountain(by Epidimh Town entrance after using surf)
025,Thunder,electr,Thundercap Mountain
026,Earthquake,ground,"Great Desert (above Tomb of Borrius, after using Rock Climb)"
027,Return,normal,"Blizzard City (Reward for completing the quest ""Bad Babysitter"")"
028,Dig,ground,"Lost Tunnel (Reward for completing the quest ""Island saviour"" [Auburn Waterway])"
029,Psychic,psychic,Fallshore City (Above the KBT Express Way after using Waterfall)
030,Shadow Ball,ghost,Route 9 center of the lake
031,Brick Break,fight,Ruins of Void (on B3F after using Rock Smash)
032,Double Team,normal,Dehara City (purchase for 2000 coins [Game Corner])
033,Reflect,psychic,Dehara City (purchase for 2000 coins [Game Corner])
034,Shock Wave,electr,Blizzard City (purchase at the Pokemart)
035,Flamethrower,fire,"Cinder Volcano (after crossing over the Magma, [needs Fire type in the party])"
036,Sludge Bomb,poison,Antisis Sewers (south room after using Waterfall)
037,Sandstorm,rock,Great Desert (from Clown after breaking all rocks in the west section of the desert)
038,Fire Blast,fire,Cinder Volcano (on 3F after using Rock Climb)
039,Rock Tomb,rock,Blizzard City (Purchase from the pokemart)
040,Aerial Ace,flying,Blizzard City (after beating the Gym Leader)
041,Torment,dark,Shadow Base (on B2F behind a locked door
